阴风阵阵,卢卡·瓜达尼诺,6.8,8.8,6.2,6.7,0,达里亚·尼科洛迪,6.8,4.7,5.4,0,0,大卫·凯根内奇,6.8,8.0,6.2,6.1,0,达科塔·约翰逊,6.9,6.8,5.5,5.1,0,蒂尔达·斯文顿,6.8,8.3,6.0,0,0,科洛·莫瑞兹,6.8,6.6,4.7,0,0,惊悚/恐怖,意大利 / 美国,英语 / 德语 / 法语,2018-09-01,152,13895,32014,6.8
极线杀手,乔纳斯·阿克伦德,6.8,9.4,8.4,9.4,0,杰森·罗斯威尔,6.8,5.5,0,0,0,维克托·桑托斯,6.8,0,0,0,0,麦斯·米科尔森,6.8,6.0,6.8,0,0,凡妮莎·哈金斯,6.7,6.8,5.3,5.8,7.4,凯瑟琳·温妮克,6.8,5.1,8.9,5.1,8.6,动作,美国 / 德国,英语,2019-01-25,118,12062,5923,6.8
武林怪兽,刘伟强,3.5,5.0,4.0,6.4,0,荣超,3.5,0,0,0,0,林挺,3.5,0,0,0,0,古天乐,6.0,3.5,5.7,5.1,0,陈学冬,3.5,8.9,5.7,4.4,4.9,郭碧婷,3.5,4.1,4.6,3.7,0,喜剧/奇幻/武侠,中国大陆 / 香港,汉语普通话,2018-12-21,104,16523,11792,3.5
精灵旅社3：疯狂假期,格恩迪·塔塔科夫斯基,6.7,7.8,7.6,5.7,0,迈克尔·麦库勒斯,6.7,7.4,7.4,8.3,6.1,格恩迪·塔塔科夫斯基,6.7,7.8,7.6,5.7,0,亚当·桑德勒,7.8,6.7,6.1,7.8,0,凯瑟琳·哈恩,8.7,8.1,6.7,7.5,5.6,史蒂夫·布西密,6.7,6.7,6.1,6.8,0,喜剧/动画/奇幻,美国,英语,2018-07-13,98,67732,105281,6.7
黑镜：潘达斯奈基,大卫·斯雷德,6.9,8.3,7.8,5.2,0,查理·布鲁克,6.9,8.8,8.3,8.0,0,0,0,0,0,0,0,菲恩·怀特海德,6.9,7.7,9.0,8.4,0,克雷格·帕金森,6.9,8.4,9.5,0,0,爱丽丝·洛维,6.9,7.9,4.1,0,0,剧情/科幻/悬疑/惊悚,英国 / 美国,英语,2018-12-28,90,43990,31485,6.9
湮灭,亚历克斯·嘉兰,7.1,7.6,5.0,6.3,7.7,亚历克斯·嘉兰,7.1,7.6,5.0,6.3,7.7,杰夫·万德米尔,7.1,0,0,0,0,娜塔莉·波特曼,7.7,6.0,7.1,0,0,詹妮弗·杰森·李,9.2,6.0,6.1,9.0,7.1,吉娜·罗德里格兹,8.2,7.4,7.1,0,0,剧情/科幻/惊悚,美国 / 英国,英语,2018-02-23,115,229225,58797,7.1
憨豆特工3,大卫·科尔,6.4,9.4,5.3,8.5,8.9,尼尔·珀维斯,6.4,7.5,6.2,7.0,0,罗伯特·韦德,6.4,7.5,6.2,7.0,0,罗温·艾金森,6.4,7.1,7.5,8.5,0,本·米勒,6.4,8.1,6.8,0,0,欧嘉·柯瑞兰寇,6.4,4.9,6.9,6.0,0,喜剧/动作/冒险,法国 / 美国 / 英国,英语,2018-10-05,89,43097,54997,6.4
银魂2,福田雄一,9.1,6.3,7.8,7.4,6.8,福田雄一,9.1,6.3,7.8,7.4,6.8,0,0,0,0,0,0,小栗旬,6.7,9.1,6.9,7.8,7.4,菅田将晖,8.2,8.3,7.4,8.5,0,桥本环奈,5.9,5.7,9.1,7.8,0,喜剧/动作/冒险,日本,日语,2018-08-17,135,15419,19881,7.4
被抹去的男孩,乔尔·埃哲顿,7.4,5.8,6.3,6.3,0,加拉德·康利,7.4,0,0,0,0,乔尔·埃哲顿,7.4,5.8,6.3,6.3,0,卢卡斯·赫奇斯,7.2,7.3,7.4,8.7,0,妮可·基德曼,7.7,7.4,6.5,0,0,罗素·克劳,7.4,4.7,0,0,0,剧情/传记/同性,美国,英语,2018-09-01,115,8745,24878,7.4
反贪风暴3,林德禄,5.7,4.9,5.5,5.7,6.4,黄浩华,5.7,0,0,0,0,何文龙,5.7,6.9,5.5,7.2,0,古天乐,6.0,3.5,5.7,5.1,0,张智霖,4.3,6.1,6.3,5.7,0,郑嘉颖,5.6,5.7,4.9,0,0,剧情/动作/犯罪,香港,粤语 / 汉语普通话,2018-08-23,97,64831,62202,5.7
