影画丹丹,发表于 2018-12-11 22:15,天数：2 天,时间：12 月,人均：500 元,和谁：亲子,['上海'， '滴水湖'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '浦东新区'， 'address': '滴水湖'， 'geo': {'lng': 121.94731， 'lat': 30.903488}}],现居常熟
天天印相,发表于 2018-12-11 15:56,天数：1 天,时间：12 月,人均：12 元,和谁：和朋友,['上海'， '陆家嘴'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '浦东新区'， 'address': '陆家嘴'， 'geo': {'lng': 121.5099， 'lat': 31.244555}}],现居上海
玥亮,发表于 2018-12-11 10:40,天数：3 天,时间：12 月,人均：2500 元,和谁：亲子,['上海'， '东方艺术中心'， '上海自然博物馆'， '上海科技馆'， '黄浦江'， '外滩'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '浦东新区'， 'address': '东方艺术中心'， 'geo': {'lng': 121.548383， 'lat': 31.229408}}， {'district': '静安区'， 'address': '上海自然博物馆'， 'geo': {'lng': 121.4688， 'lat': 31.241105}}， {'district': '浦东新区'， 'address': '上海科技馆'， 'geo': {'lng': 121.548081， 'lat': 31.224652}}， {'district': '浦东新区'， 'address': '黄浦江'， 'geo': {'lng': 121.479713， 'lat': 31.191816}}， {'district': '黄浦区'， 'address': '外滩'， 'geo': {'lng': 121.500728， 'lat': 31.236049}}],2015-08-14加入
凡人客栈,发表于 2018-12-11 10:24,时间：12 月,和谁：一个人,玩法：摄影，人文,,['上海'， '枫泾'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '金山区'， 'address': '枫泾'， 'geo': {'lng': 121.023553， 'lat': 30.892415}}],现居上海
Shirley雪梨酱,发表于 2018-12-10 13:49,天数：2 天,时间：12 月,人均：1000 元,和谁：亲子,['上海'， '长风公园'， '滴水湖'， '新天地'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '普陀区'， 'address': '长风公园'， 'geo': {'lng': 121.405948， 'lat': 31.230878}}， {'district': '浦东新区'， 'address': '滴水湖'， 'geo': {'lng': 121.94731， 'lat': 30.903488}}， {'district': '长宁区'， 'address': '新天地'， 'geo': {'lng': 121.377101， 'lat': 31.223165}}],现居上海
唔心无心,发表于 2018-12-10 13:25,天数：3 天,时间：12 月,人均：2500 元,和谁：夫妻,['上海'， '外滩'， '城隍庙'， '田子坊'， '上海博物馆'， '人民广场'， '和平饭店'， '黄浦江'， '东方明珠'， '豫园'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '黄浦区'， 'address': '外滩'， 'geo': {'lng': 121.500728， 'lat': 31.236049}}， {'district': '金山区'， 'address': '城隍庙'， 'geo': {'lng': 121.201038， 'lat': 30.79285}}， {'district': '黄浦区'， 'address': '田子坊'， 'geo': {'lng': 121.47585， 'lat': 31.214257}}， {'district': '黄浦区'， 'address': '上海博物馆'， 'geo': {'lng': 121.482163， 'lat': 31.234285}}， {'district': '黄浦区'， 'address': '人民广场'， 'geo': {'lng': 121.478941， 'lat': 31.236009}}， {'district': '黄浦区'， 'address': '和平饭店'， 'geo': {'lng': 121.495666， 'lat': 31.244818}}， {'district': '浦东新区'， 'address': '黄浦江'， 'geo': {'lng': 121.479713， 'lat': 31.191816}}， {'district': '浦东新区'， 'address': '东方明珠'， 'geo': {'lng': 121.50647， 'lat': 31.245342}}， {'district': '黄浦区'， 'address': '豫园'， 'geo': {'lng': 121.498831， 'lat': 31.232388}}],现居北京
在别处的完美生活,发表于 2018-12-09 20:13,天数：2 天,时间：12 月,人均：400 元,玩法：自由行，小资，周末游,['上海'， '国家会展中心'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '青浦区'， 'address': '国家会展中心'， 'geo': {'lng': 121.308714， 'lat': 31.195455}}],现居南京
凡人客栈,发表于 2018-12-09 16:21,时间：11 月,和谁：一个人,玩法：摄影，人文,,['上海'， '上海展览中心'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '静安区'， 'address': '上海展览中心'， 'geo': {'lng': 121.459292， 'lat': 31.230907}}],现居上海
漫游山水,发表于 2018-12-08 21:09,天数：1 天,时间：10 月,人均：100 元,和谁：一个人,['上海'， '宋庆龄故居'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '徐汇区'， 'address': '宋庆龄故居'， 'geo': {'lng': 121.445263， 'lat': 31.210421}}],现居上海
兔兔why,发表于 2018-12-08 19:56,天数：1 天,时间：12 月,和谁：和朋友,玩法：美食，摄影，人文，自由行，徒步，小资,['朱家角'， '圆津禅院'， '北大街'， '放生桥'， '泰安桥'],[{'district': '青浦区'， 'address': '朱家角'， 'geo': {'lng': 121.066194， 'lat': 31.114829}}， {'district': '青浦区'， 'address': '圆津禅院'， 'geo': {'lng': 121.061299， 'lat': 31.116441}}， {'district': '闵行区'， 'address': '北大街'， 'geo': {'lng': 121.360435， 'lat': 31.159011}}， {'district': '青浦区'， 'address': '放生桥'， 'geo': {'lng': 121.06252， 'lat': 31.117768}}， {'district': '青浦区'， 'address': '泰安桥'， 'geo': {'lng': 121.061515， 'lat': 31.116339}}],现居上海
